0	6970.0
1111	1.0
1680	1.0
1800	37.0
1826	1.0
1829	1.0
1832	1.0
1835	2.0
1840	2.0
1844	2.0
1845	4.0
1846	2.0
1847	2.0
1849	1.0
1850	6.0
1851	2.0
1852	3.0
1854	3.0
1855	1.0
1856	2.0
1864	2.0
1865	2.0
1870	13.0
1871	3.0
1875	3.0
1880	26.0
1881	8.0
1882	2.0
1883	2.0
1888	1.0
1889	2.0
1890	62.0
1891	3.0
1892	4.0
1893	2.0
1894	5.0
1895	39.0
1896	6.0
1898	3.0
1899	1798.0
1900	1130.0
1901	1755.0
1902	29.0
1903	58.0
1904	22.0
1905	653.0
1906	94.0
1907	58.0
1908	134.0
1909	89.0
1910	3585.0
1911	134.0
1912	124.0
1913	154.0
1914	125.0
1915	1182.0
1916	115.0
1917	73.0
1918	43.0
1919	18.0
1920	6045.0
1921	144.0
1922	159.0
1923	255.0
1924	336.0
1925	4312.0
1926	519.0
1927	478.0
1928	684.0
1929	474.0
1930	5043.0
1931	2246.0
1932	230.0
1933	93.0
1934	33.0
1935	1610.0
1936	102.0
1937	235.0
1938	173.0
1939	354.0
1940	2456.0
1941	213.0
1942	112.0
1943	8.0
1944	34.0
1945	1330.0
1946	65.0
1947	115.0
1948	220.0
1949	389.0
1950	3156.0
1951	600.0
1952	696.0
1953	373.0
1954	343.0
1955	1961.0
1956	525.0
1957	519.0
1958	442.0
1959	423.0
1960	2654.0
1961	728.0
1962	839.0
1963	941.0
1964	677.0
1965	1511.0
1966	242.0
1967	245.0
1968	100.0
1969	191.0
1970	952.0
1971	300.0
1972	302.0
1973	268.0
1974	203.0
1975	638.0
1976	41.0
1977	185.0
1978	133.0
1979	157.0
1980	385.0
1981	125.0
1982	140.0
1983	203.0
1984	195.0
1985	473.0
1986	466.0
1987	635.0
1988	429.0
1989	388.0
1990	328.0
1991	126.0
1992	144.0
1993	118.0
1994	114.0
1995	146.0
1996	233.0
1997	173.0
1998	153.0
1999	213.0
2000	226.0
2001	268.0
2002	551.0
2003	421.0
2004	715.0
2005	1106.0
2006	924.0
2007	1186.0
2008	935.0
2009	579.0
2010	358.0
2011	154.0
2012	276.0
2013	743.0
2014	1232.0
2015	1470.0
2016	794.0
2017	6.0
