0	278
1111	0.0
1680	1
1800	4
1826	1
1829	1
1832	0.0
1835	2
1840	10
1844	10
1845	1
1846	2
1847	4
1849	0.0
1850	24
1851	1
1852	16
1854	8
1855	0.0
1856	9
1864	0.0
1865	0.0
1870	3
1871	2
1875	1
1880	42
1881	3
1882	0.0
1883	0.0
1888	90
1889	1
1890	181
1891	2
1892	1
1893	1
1894	1
1895	8
1896	7
1898	1
1899	7
1900	133
1901	103
1902	15
1903	28
1904	25
1905	54
1906	64
1907	20
1908	12
1909	30
1910	79
1911	184
1912	74
1913	68
1914	31
1915	60
1916	50
1917	36
1918	41
1919	70
1920	96
1921	317
1922	54
1923	94
1924	68
1925	78
1926	311
1927	716
1928	162
1929	680
1930	889
1931	259
1932	114
1933	43
1934	122
1935	34
1936	102
1937	100
1938	62
1939	78
1940	198
1941	96
1942	28
1943	3
1944	2
1945	5
1946	6
1947	60
1948	44
1949	462
1950	291
1951	56
1952	296
1953	324
1954	168
1955	148
1956	233
1957	136
1958	287
1959	771
1960	446
1961	130
1962	152
1963	287
1964	244
1965	286
1966	369
1967	232
1968	49
1969	184
1970	8
1971	1641
1972	1844
1973	315
1974	498
1975	894
1976	3
1977	948
1978	179
1979	4
1980	8
1981	2
1982	5
1983	12
1984	128
1985	127
1986	67
1987	29
1988	12
1989	132
1990	77
1991	150
1992	6
1993	3
1994	3
1995	3
1996	4
1997	3
1998	9
1999	54
2000	76
2001	54
2002	9
2003	45
2004	117
2005	47
2006	30
2007	99
2008	47
2009	271
2010	52
2011	27
2012	14
2013	233
2014	233
2015	233
2016	550
2017	10
